x,y,c
15,39,2
15,81,4
16,6,2
16,77,4
17,40,2
17,76,4
18,6,2
18,94,4
19,3,2
19,72,4
19,14,2
19,99,4
20,15,2
20,77,4
20,13,2
20,79,4
21,35,2
21,66,2
23,29,2
23,98,4
24,35,2
24,73,4
25,5,2
25,73,4
28,14,2
28,82,4
28,32,2
28,61,2
29,31,2
29,87,4
30,4,0
30,73,4
33,4,0
33,92,4
33,14,0
33,81,4
34,17,0
34,73,4
37,26,0
37,75,4
38,35,0
38,92,4
39,36,0
39,61,0
39,28,0
39,65,4
40,55,0
40,47,0
40,42,0
40,42,0
42,52,0
42,60,0
43,54,0
43,60,0
43,45,0
43,41,0
44,50,0
44,46,0
46,51,0
46,46,0
46,56,0
46,55,0
47,52,0
47,59,0
48,51,0
48,59,0
48,50,0
48,48,0
48,59,0
48,47,0
49,55,0
49,42,0
50,49,0
50,56,0
54,47,5
54,54,5
54,53,5
54,48,5
54,52,5
54,42,5
54,51,5
54,55,5
54,41,5
54,44,5
54,57,5
54,46,5
57,58,5
57,55,5
58,60,5
58,46,5
59,55,5
59,41,5
60,49,5
60,40,5
60,42,5
60,52,5
60,47,5
60,50,5
61,42,5
61,49,5
62,41,5
62,48,5
62,59,5
62,55,5
62,56,5
62,42,5
63,50,5
63,46,5
63,43,5
63,48,5
63,52,5
63,54,5
64,42,5
64,46,5
65,48,5
65,50,5
65,43,5
65,59,5
67,43,5
67,57,5
67,56,5
67,40,5
69,58,3
69,91,4
70,29,5
70,77,4
71,35,5
71,95,4
71,11,1
71,75,3
71,9,1
71,75,3
72,34,5
72,71,3
73,5,1
73,88,4
73,7,1
73,73,3
74,10,1
74,72,3
75,5,1
75,93,4
76,40,5
76,87,4
77,12,1
77,97,4
77,36,5
77,74,3
78,22,1
78,90,4
78,17,1
78,88,4
78,20,1
78,76,3
78,16,1
78,89,4
78,1,1
78,78,3
78,1,1
78,73,3
79,35,5
79,83,4
81,5,1
81,93,3
85,26,1
85,75,3
86,20,1
86,95,3
87,27,1
87,63,3
87,13,1
87,75,3
87,10,1
87,92,3
88,13,1
88,86,3
88,15,1
88,69,3
93,14,1
93,90,3
97,32,1
97,86,3
98,15,1
98,88,3
99,39,1
99,97,3
101,24,1
101,68,3
103,17,1
103,85,3
103,23,1
103,69,3
113,8,1
113,91,3
120,16,1
120,79,3
126,28,1
126,74,3
137,18,1
137,83,3
